Count,Word
5,price_pressures
5,July_Monetary_Policy_Report_Update
2,U.S._Federal_Reserve_Board
2,interest_rate_cut
2,Federal_Reserve
3,aggregate_demand
2,price_inflation
2,electricity_prices
44,overnight_rate
6,consumption_growth
5,private_demand
5,announcement_date
2,upside_risk
5,consistent_cent_inflation_target
3,market_developments
4,Resale_Agreements
6,main_risks
8,U.S._dollar
139,Bank_Rate
3,Canadian_economies
3,trend_rate
23,household_spending
4,household_debt
3,North_America
45,policy_stimulus
2,debt_crisis
2,Monetary_Policy_Report_Update
7,consumer_confidence
4,food_prices
8,July_Monetary_Policy_Report_MPR
2,quarter_GDP
2,tax_changes
2,global_economies
21,inflation_target
2,labour_markets
8,target_range
41,U.S._economy
3,Middle_East
3,inflationary_pressures
3,monetary_fiscal_policies
5,policy_tightening
18,economic_activity
9,economic_expansion
4,funds_rate
2,overnight_rate_cent_centre
18,downside_risks
2,indirect_taxes
19,credit_conditions
2,January_Monetary_Policy_Report_Update_MPRU
2,price_level_adjustment
37,projection_horizon
75,core_inflation
6,policy_interest_rate
12,policy_rate
6,household_credit
6,price_movements
22,Canadian_dollar
2,term_bond_yields
61,business_investment
8,policy_interest_rates
4,world_energy_prices
2,debt_markets
3,July_Monetary_Policy_Report_Update_MPRU
4,trade_policies
6,Bank_s_July_Monetary_Policy_Report_MPR
2,yield_curve
3,consumer_price_inflation
2,spillover_effects
34,interest_rates
5,market_volatility
7,housing_sector
2,Monetary_Policy_Report
97,CPI_inflation
2,employment_levels
6,core_rate
2,growth_rates
4,Canadian_dollar_sector
6,inflation_environment
5,government_spending
12,total_CPI_inflation
7,bond_yields
6,world_oil_prices
4,energy_exports
7,resource_sector
3,residential_investment
5,overnight_rate_Bank_target
3,U.S._currency
2,U.S._recession
2,federal_infrastructure_spending
2,October_Monetary_Policy_Report
11,wage_growth
11,Policy_Report_Update
16,Council_judges
10,U.S._demand
75,deposit_rate
6,inflation_pressures
10,global_economy
39,production_capacity
46,percentage_point
4,income_ratio
3,import_prices
3,market_anticipation
6,U.S._growth
23,inflation_expectations
7,household_expenditures
9,domestic_demand
3,mortgage_interest_costs
2,housing_finance_rules
13,production_potential
63,United_States
2,price_changes
2,U.S._level
22,Canadian_economy
13,consumer_spending
16,gasoline_prices
5,exchange_rate
24,competitiveness_challenges
3,core_CPI_inflation
2,crude_oil
14,January_MPR
4,July_MPRU
3,transportation_bottlenecks
5,domestic_demand_growth
3,capacity_limits
12,economic_financial_developments
2,US_demand
2,real_GDP
9,income_growth
31,oil_prices
2,mortgage_interest_rates
3,US_dollar
21,October_Monetary_Policy_Report_MPR
2,Canadian_output
2,Canadian_economic_activity
10,labour_market
2,global_economy_Bank
2,net_effect
2,Severe_Acute_Respiratory_Syndrome_SARS
15,April_Monetary_Policy_Report_MPR
17,January_Monetary_Policy_Report_MPR
5,risk_aversion
7,Bank_s_April_Monetary_Policy_Report_MPR
20,Policy_Report
2,July_MPR
2,U.S._expansion
15,monetary_policy
2,tax_cuts
2,final_domestic_demand
68,operating_bank
18,April_MPR
10,US_economy
2,real_GDP_growth
5,April_projection
5,external_demand
2,consumer_energy_products
3,absolute_level_U.S._demand
2,currency_markets
3,U.S._Federal_Reserve
26,energy_prices
4,global_demand
2,global_financial_system
4,financial_markets
2,income_ratios
2,financial_market_volatility
9,January_Monetary_Policy_Report_Update
31,GDP_growth
2,accommodative_monetary_policy
9,consumer_energy_prices
3,global_growth
17,October_MPR
4,November_Monetary_Policy_Report
47,commodity_prices
6,employment_growth
2,Canadian_products
4,downside_risk
