,high,low,strong,consistent,weak,significant,modest,considerable,persistent,solid,moderate,robust,stimulus,more,large,downward,growth,recovery,slack,increase,reduction,improve
aggregate_demand,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
global_demand,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
external_demand,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
u.s._demand,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
private_demand,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
demand,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
production_capacity,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
productivity,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
production,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
supply,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
